subID,mean_phys_J19,mean_phys_L19,mean_des_J19,mean_des_L19,mean_bel_J19,mean_bel_L19,mean_base_J19,mean_base_L19,area_phys_J19,area_phys_L19,area_des_J19,area_des_L19,area_bel_J19,area_bel_L19,area_base_J19,area_base_L19,max_phys_J19,max_phys_L19,max_des_J19,max_des_L19,max_bel_J19,max_bel_L19
113_ID,-1.07235661257864e-08,3.96679432184772e-09,2.39410211213516e-10,1.29015270357428e-08,5.79002108838634e-09,1.96168428452215e-08,2.54194928084004e-09,-4.40082814945774e-09,-7.42373510397299e-06,4.25729941973059e-06,2.91295660030445e-06,1.05423253681393e-05,3.98829474874581e-06,1.81909922201308e-05,1.90900390991087e-06,-3.30502194024276e-06,4.5739230267704e-09,1.18154714521279e-08,1.53752000460044e-08,2.19194665159152e-08,1.15822347546169e-08,3.17817389793455e-08
114_ASB,4.23805687235891e-09,1.21147206992304e-08,7.07774045365484e-09,1.31607336011798e-08,-7.34433222385479e-09,1.10146411562781e-08,6.95177704621867e-09,-3.39833362806503e-09,3.80577224106181e-06,1.10341784086826e-05,6.90992210131664e-06,1.15969016515812e-05,-3.84281258175425e-06,1.04885245422087e-05,5.22078456171022e-06,-2.55214855467684e-06,1.31251796493386e-08,2.25587617477767e-08,1.68015638484618e-08,2.17531003350289e-08,1.00010722605476e-08,1.71859892710368e-08
115_HC,8.40052349503314e-09,-2.72833350184138e-09,1.2470592151253e-08,1.36636905628916e-08,-8.72853887005364e-09,-2.3857717741967e-09,5.84993603593625e-09,2.56939937683908e-09,7.60100838575719e-06,-2.20595841659178e-06,8.55579563186133e-06,1.06282010774092e-05,-6.19002372547757e-06,-7.30354731726484e-07,4.39330196298812e-06,1.92961893200615e-06,1.49133596381844e-08,3.12087532473483e-09,2.05675293108984e-08,2.31768426706829e-08,2.66656742627359e-10,7.29019551884231e-09
118_ZT,1.03195737806497e-08,8.65123450620941e-09,4.01970619022396e-09,3.42120470157933e-09,8.84935089371753e-09,1.74953670954954e-09,-5.18503442647146e-09,3.85968333942419e-09,9.05870513647239e-06,7.14063324045081e-06,7.15426587141758e-06,4.94225723319971e-07,7.32632196070955e-06,3.13363316143463e-06,-3.89396085428007e-06,2.89862218790756e-06,2.56774328594011e-08,2.08396099471279e-08,2.23511926135047e-08,1.53314535496788e-08,2.59470082157648e-08,2.37479461511523e-08
119_GM,-6.81081142895555e-09,6.45737675763867e-09,-5.6071880064051e-09,3.22933657025238e-10,-1.75902930753483e-08,1.35663197757083e-09,9.82021347154507e-09,-3.19757358445585e-09,-6.04749376773579e-06,3.58021358500206e-06,-2.82263458288479e-06,2.04608385279419e-06,-1.72465546994592e-05,-5.09894331476521e-07,7.37498031713035e-06,-2.40137776192635e-06,6.59345419417454e-09,2.66257510242596e-08,9.00664316634161e-09,1.04800943309298e-08,-5.56791456607592e-09,1.23683051041776e-08
120_PB,1.08129161253407e-08,-4.21682232054954e-08,3.17145947191215e-08,-1.30028324389727e-09,1.20273099202253e-08,-1.28829248473737e-08,-2.2363881570236e-08,-1.75880029106008e-08,5.69963136859402e-06,-3.57612768157845e-05,2.28862751590738e-05,-2.76051809717109e-06,6.96270724068867e-06,-1.2278619578962e-05,-1.67952750592473e-05,-1.32085901858612e-05,8.61723128017559e-08,-2.64705929395215e-08,7.41534529796146e-08,2.40542351655881e-08,4.78429557694322e-08,-2.12122604366451e-09
121_MT,-1.86121321767258e-08,8.37914938471676e-08,-2.0983678632911e-08,6.04210351893627e-09,-4.09333172979726e-08,6.03023007008548e-08,1.58724962643732e-09,-1.96282368538894e-08,-1.5817492275332e-05,6.94435388800507e-05,-1.65997266605042e-05,1.15554491060414e-05,-4.00338235535481e-05,4.46239214284109e-05,1.19202446945443e-06,-1.47408058772709e-05,6.00748046818013e-09,1.29240692342407e-07,6.77406166498814e-09,3.00560113281946e-08,-6.43749984461447e-09,1.07458121104942e-07
122_KD,1.45799256976725e-08,-8.6574271099306e-09,-2.68123814035309e-08,-1.77564961438746e-09,6.7868459725979e-09,-4.36794900398551e-09,9.88664926994054e-10,4.41486278479859e-09,1.27170597576568e-05,-6.9085150922095e-06,-2.15650202981289e-05,-2.69723068511657e-07,3.04112629420752e-06,-2.7334294883356e-06,7.42487360172534e-07,3.31556195138374e-06,2.52385766107154e-08,-4.89471356158613e-10,-3.09069914797386e-09,5.42346742472636e-09,2.43042526065327e-08,2.94037516268799e-09
123_ES,8.54457713597541e-09,6.94998260024914e-09,2.26758224726778e-08,1.17196551715918e-08,-2.48216524109767e-08,-1.5206039394259e-08,5.19833112693419e-09,2.17147572831608e-09,8.49024812269723e-06,9.32809195090204e-06,1.78314067438078e-05,1.07389815107877e-05,-1.81626512055119e-05,-1.15052823933612e-05,3.90394667632757e-06,1.63077827196538e-06,2.25201646283663e-08,2.49270621284953e-08,3.20819435822368e-08,2.21282192016974e-08,6.5795533302482e-09,4.85952342503085e-10
124_CK,2.45648361777294e-08,2.23018520345437e-08,5.00726130998475e-09,2.88211670258603e-08,-2.30469131962874e-08,2.64665334530977e-08,8.45442159365785e-09,-1.29421066801838e-08,2.24009948462328e-05,2.27223327388746e-05,1.0945175256444e-05,2.90576779730196e-05,-1.30400909209111e-05,2.74247568754302e-05,6.34927061683704e-06,-9.719522116818e-06,4.28343355758662e-08,4.34292280147904e-08,3.83762202916288e-08,5.29558822738414e-08,2.31129691430313e-08,4.75819110333778e-08
