subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
113_ID,-6.8554342400466e-08,-2.40850465769967e-08,4.91411109015637e-08,1.02703295295827e-07,1.39382087020076e-07,1.76437053558846e-07,6.87442034452079e-08,5.69628093102036e-08,-1.96030925436441e-08,4.57404859856235e-08,7.06378835748677e-08,1.19474244248642e-07,-6.86228967428665e-05,-2.41091316235737e-05,4.91902520124653e-05,0.000102805998591123,0.000139521469107096,0.000176613490612405
114_ASB,3.23100610228899e-08,3.67028341725869e-08,3.47873837237557e-08,4.37962886200093e-08,-1.98093675429727e-08,2.04590689272761e-08,3.03129206129581e-08,7.21536671547931e-09,4.4744631107976e-09,3.658092190453e-08,-5.01222881559307e-08,1.32437022117968e-08,3.23423710839127e-05,3.67395370067595e-05,3.48221711074794e-05,4.38400849086293e-05,-1.98291769105157e-05,2.04795279962034e-05
115_HC,3.51411243237195e-08,-3.67535150980925e-08,3.76423951003247e-08,4.26345001210184e-08,-7.0245414612483e-08,-5.77418341679189e-08,-1.33129803799921e-09,-4.05481796409107e-10,3.89736931383239e-08,4.30399819174275e-08,-6.89141165744838e-08,-5.73363523715098e-08,3.51762654480432e-05,-3.67902686131906e-05,3.7680037495425e-05,4.26771346211395e-05,-7.03156600270955e-05,-5.77995760020868e-05
118_ZT,1.61471976635569e-08,2.96186935650698e-08,4.37759908080308e-09,-2.95283806658149e-09,5.04240691068211e-08,-3.4766787010253e-08,-1.56770533544888e-08,1.30943855949891e-08,2.00546524352919e-08,-1.60472236615706e-08,6.610112246131e-08,-4.78611726052421e-08,1.61633448612205e-05,2.96483122586349e-05,4.38197667988388e-06,-2.95579090464807e-06,5.0474493175928e-05,-3.48015537972632e-05
119_GM,-1.94505917493031e-08,1.66434352531142e-08,-1.02912744489509e-08,9.62556382268803e-09,-2.00083136380445e-08,-4.21242873581731e-09,3.33471012611629e-08,-1.01914322170846e-09,-4.36383757101138e-08,1.06447070443965e-08,-5.33554148992074e-08,-3.19328551410886e-09,-1.94700423410524e-05,1.66600786883673e-05,-1.03015657233999e-05,9.63518938651071e-06,-2.00283219516826e-05,-4.21664116455313e-06
120_PB,3.48904269127614e-07,2.59440502415091e-07,2.18342557805381e-07,1.8053766264374e-07,8.6396951041291e-08,9.00046728793921e-08,9.15964134986165e-08,3.39809283949863e-08,1.26746144306765e-07,1.46556734248754e-07,-5.19946245732546e-09,5.60237444844058e-08,0.000349253173396742,0.000259699942917507,0.000218560900363187,0.000180718200306384,8.64833479923323e-05,9.00946775522715e-05
121_MT,-9.27206894586156e-08,1.29226442646586e-07,-1.08362876826382e-09,4.80400441939287e-08,1.39971349760236e-07,8.52413722917701e-08,-4.50839695013081e-08,-1.03982596601403e-08,4.40003407330442e-08,5.8438303854069e-08,1.85055319261544e-07,9.56396319519105e-08,-9.28134101480742e-05,0.000129355669089232,-1.08471239703209e-06,4.80880842381226e-05,0.000140111321109997,8.53266136640619e-05
122_KD,5.37813584808016e-08,-7.97052972007983e-09,-3.42481945321887e-08,-8.68413045993966e-09,-3.67746680313952e-08,-1.62571247986681e-08,1.44168670079586e-10,1.54298718168525e-08,-3.43923632022682e-08,-2.41140022767922e-08,-3.69188367014748e-08,-3.16869966155207e-08,5.38351398392824e-05,-7.97850024979991e-06,-3.42824427267208e-05,-8.6928145903996e-06,-3.68114426994266e-05,-1.62733819234668e-05
123_ES,3.29291649807827e-08,3.89027280904989e-08,4.55715416441987e-08,2.3907935173594e-08,-3.78219395921521e-08,-1.27015259344378e-08,3.87101077970795e-08,1.51622009003598e-08,6.86143384711922e-09,8.74573427323426e-09,-7.65320473892316e-08,-2.78637268347976e-08,3.29620941457635e-05,3.89416308185894e-05,4.56171131858429e-05,2.39318431087676e-05,-3.78597615317443e-05,-1.27142274603722e-05
124_CK,3.14571288667953e-08,3.07978879113278e-08,-1.65251868538066e-09,6.97353609886581e-09,4.22761961090804e-08,8.18105203200857e-08,4.11478567617858e-08,-2.05377797174648e-09,-4.28003754471665e-08,9.02731407061229e-09,1.12833934729457e-09,8.38642982918322e-08,3.14885859956621e-05,3.08286857992391e-05,-1.65417120406604e-06,6.98050963496467e-06,4.23184723051895e-05,8.18923308404058e-05
